<< ITALIA-RS >> |DUPLICATAS POR OP.FINAN./HIST.|17/07/14|14:34
Estab:|         1|a|         5|Período:|06/06/14|a|10/07/14|Op. Financ:|002|a|004
Hist:|    |a|zzzz|Moeda:|          |Pagador:|         0|a|       999
Ativ:|                              
Fornecedor|Pag|Depto|Est.|Fatura/DP|Data Mov.|Port:|Valor
Op. Financeira:|002|Liquidacao Titulos  | - |0002|Liquidacao de Titulo
 9091832000135  Florenca Caminhoes|  0|55110   |  1|    96469/1 |24/06/14| 237|            795,30
88616511000183  Brasdiesel S. A. C|  0|55110   |  1|   257121/01|24/06/14| 237|            520,00
 2955062000182  Frigeri Contabilid|  0|54202   |  1|  3592014/12|11/06/14| 341|           3000,00
 2955062000182  Frigeri Contabilid|  0|54202   |  1|  3592014/13|18/06/14| 237|           2000,00
 8045744000134  R Pereira Com. Var|  0|55110   |  4| 76804652/01|18/06/14| 237|            436,63
 8045744000134  R Pereira Com. Var|  0|55110   |  4| 77304680/01|24/06/14| 237|            259,97
TOTAL DO HISTÓRICO|0002|         162024,59
TOTAL OP. FINANCEIRA||         162024,59
Op. Financeira:|003|Juros               | - |0003|Juros Recebidos     
88302419000149  Mecanica Parana Lt|  0|55110   |  1|      350/01|27/06/14|   1|             47,68
88302419000149  Mecanica Parana Lt|  0|55110   |  1|      351/01|30/06/14| 341|             47,68
72383524000110  Molas Pernambuco L|  0|55110   |  1|     1253/01|20/06/14| 237|             50,58
72383524000110  Molas Pernambuco L|  0|55110   |  1|     1253/02|08/07/14|   1|             50,58
72383524000110  Molas Pernambuco L|  0|55110   |  1|     1264/01|02/07/14| 237|             47,68
86953932000174  R P M Conserto de |  0|55110   |  1|     1311/02|25/06/14| 237|             65,16
 3380389000136  Kiwa Empreendiment|  0|54201   |  2|     2014/05|26/06/14| 341|          16247,50
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2536/05|09/06/14| 341|             50,58
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2538/06|03/07/14| 237|             58,78
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2812/02|01/07/14| 237|             47,68
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2816/02|09/06/14| 341|             47,68
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2850/02|08/07/14|   1|             47,68
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2852/02|01/07/14| 237|             46,68
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2891/01|18/06/14| 237|             47,68
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2951/01|02/07/14| 237|             47,68
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2959/01|07/07/14| 237|             47,68
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2969/01|10/07/14| 237|             47,68
 5033275000145  Rodoplan Pecas e S|  0|55110   |  1|     3073/02|06/06/14| 237|             58,78
31447055000178  Dragao de Campos E|  0|55110   |  4|     4912/01|09/07/14| 237|             63,93
93527794000127  Bormana Comercio d|  0|55110   |  1|     8092/01|10/07/14| 237|             41,38
93527794000127  Bormana Comercio d|  0|55110   |  1|     8092/02|10/07/14| 237|             44,68
94616059000314  Bivel Veiculos Ltd|  0|55110   |  1|     9617/03|16/06/14|   1|             58,78
94616059000314  Bivel Veiculos Ltd|  0|55110   |  1|     9706/02|18/06/14| 237|             58,78
94616059000314  Bivel Veiculos Ltd|  0|55110   |  1|     9706/03|07/07/14| 237|             58,78
94616059000314  Bivel Veiculos Ltd|  0|55110   |  1|     9756/02|26/06/14|   1|             47,68
94616059000314  Bivel Veiculos Ltd|  0|55110   |  1|     9765/01|09/06/14| 341|             50,58
94616059000314  Bivel Veiculos Ltd|  0|55110   |  1|     9765/02|30/06/14| 341|             50,58
94616059000314  Bivel Veiculos Ltd|  0|55110   |  1|     9848/01|07/07/14|   1|             47,68
94616059000314  Bivel Veiculos Ltd|  0|55110   |  1|     9865/01|30/06/14| 341|             58,78
10336846000150  Global 5 Engenhari|  0|54202   |  1|    10467/01|12/06/14| 341|             59,41
93527794000127  Bormana Comercio d|  0|55110   |  1|    23128/02|27/06/14|   1|             50,58
93527794000127  Bormana Comercio d|  0|55110   |  1|    23687/01|03/07/14| 237|             47,68
27024819000226  Contauto Continent|  0|55110   |  5|    36469/01|09/06/14| 341|              7,92
11164284000178  Dgsul Veic e Serv |  0|55110   |  1|    45169/04|02/07/14| 237|              4,20
88616511000183  Brasdiesel S. A. C|  0|55110   |  1|    47393/03|27/06/14| 237|             58,78
 9091832000135  Florenca Caminhoes|  0|55110   |  1|    96469/1 |24/06/14| 237|             26,50
88616511000183  Brasdiesel S. A. C|  0|55110   |  1|   257121/01|24/06/14| 237|             47,68
TOTAL DO HISTÓRICO|0003|          17989,82
TOTAL OP. FINANCEIRA||          17989,82
T O T A L  G E R A L||         180014,41
