DE	PARA					
1.2.3.1.2.1.1.0.0.0.5391.	4963					
1.2.3.1.2.1.1.0.0.0.5392.	4964					
1.2.3.1.2.1.5.0.0.0.3320.	4981					
1.2.3.1.2.1.5.0.0.0.3321.	4982					
1.2.3.1.2.1.5.0.0.0.3322.	4983					
1.2.3.1.2.1.5.0.0.0.3324.	4984					
1.2.3.1.2.1.5.0.0.0.3278.	4985					
1.2.3.1.2.1.5.0.0.0.4392.	4986					
1.2.3.1.2.1.5.0.0.0.4516.	4987					
1.2.3.1.2.1.5.0.0.0.4525.	4988					
1.2.3.1.2.1.5.0.0.0.5080.	4989					
1.2.6.1.1.9.1.1.1.0.3339.	4992					
1.2.6.1.1.9.1.1.1.0.3349.	4993					
1.2.6.1.1.9.1.1.1.0.3350.	4994					
1.2.6.1.1.9.1.2.2.0.4441.	4999					
1.2.6.1.1.9.1.4.0.0.4439.	5002					
1.2.6.1.1.9.1.4.0.0.4440.	5003					
1.3.1.7.4.9.2.1.0.0.3341.	5004					
1.3.2.2.1.9.1.1.1.0.3347.	5005					
1.3.3.1.2.9.1.1.0.0.3351.	5006					
1.3.3.1.2.9.1.2.0.0.5452.	5007					
1.3.3.1.2.9.9.1.0.0.5593.	5008					
1.3.3.4.2.9.1.1.0.0.4223.	5009					
1.3.3.5.2.9.1.0.0.0.4222.	5010					
1.3.3.4.2.9.9.1.0.0.3365.	5011					
1.3.3.5.2.9.9.1.0.0.3364.	5012					
1.3.3.9.2.9.1.9.0.0.4221.	5013					
1.3.3.9.2.9.9.8.0.0.3363.	5014					
1.3.4.1.2.9.1.2.0.0.4226.	5015					
1.3.4.1.2.9.9.2.0.0.3366.	5016					
2.1.1.2.7.9.1.2.2.0.3377.	5019					
2.1.1.2.7.9.1.2.2.0.3380.	5020					
2.1.1.2.7.9.1.2.2.0.3383.	5021					
2.1.1.2.7.9.1.2.2.0.3385.	5022					
2.1.1.2.7.9.1.2.2.0.3386.	5023					
2.1.1.2.7.9.1.2.2.0.3387.	5024					
2.1.1.2.7.9.1.2.2.0.3389.	5025					
2.1.1.2.7.9.1.2.2.0.3390.	5026					
2.1.1.2.7.9.1.2.2.0.3391.	5027					
2.1.1.2.7.9.1.2.2.0.3394.	5028					
2.1.1.2.7.9.1.2.2.0.3395.	5029					
2.1.1.2.7.9.1.2.2.0.3397.	5030					
2.1.1.2.7.9.1.2.2.0.3398.	5031					
2.1.1.2.7.9.1.2.2.0.3399.	5032					
2.1.1.2.7.9.1.2.2.0.3402.	5033					
2.1.1.2.7.9.1.2.2.0.3403.	5034					
2.1.1.2.7.9.1.2.2.0.3404.	5035					
2.1.1.2.7.9.1.2.2.0.3405.	5036					
2.1.1.2.7.9.1.2.2.0.3406.	5037					
2.1.1.2.7.9.1.2.2.0.3407.	5038					
2.1.1.2.7.9.1.2.2.0.3408.	5039					
2.1.1.2.7.9.1.2.2.0.3411.	5042					
2.1.1.2.7.9.1.2.2.0.3416.	5045					
2.1.1.2.7.9.1.2.2.0.3414.	5046					
2.1.1.2.7.9.1.2.2.0.3415.	5047					
2.1.1.2.7.9.1.2.2.0.4263.	5049					
2.1.1.2.7.9.1.2.2.0.4264.	5050					
2.1.1.2.7.9.1.2.2.0.4291.	5051					
2.1.1.2.7.9.1.2.2.0.4292.	5052					
2.1.1.2.7.9.1.2.2.0.4360.	5053					
2.1.1.2.7.9.1.2.2.0.4487.	5054					
2.1.1.2.7.9.1.2.2.0.29945	5054					
2.1.1.2.7.9.1.2.2.0.4488.	5055					
2.1.1.2.7.9.1.2.2.0.29591	5057					
2.1.1.2.7.9.1.2.2.0.29810	5058					
2.1.1.2.7.9.1.2.2.0.29929	5059					
2.1.1.2.7.9.1.2.2.0.29961	5061					
2.1.1.2.7.9.1.2.2.0.29989	5063					
2.1.1.2.7.9.1.2.2.0.5727.	5066					
2.1.1.2.7.9.1.2.2.0.5724.	5067					
2.1.1.2.7.9.1.2.2.0.5728.	5068					
2.1.1.2.7.9.1.2.2.0.5729.	5069					
2.1.1.2.7.9.1.2.2.0.5731.	5071					
2.1.1.2.7.9.1.2.2.0.5732.	5072					
2.1.1.2.7.9.1.2.2.0.5735.	5073					
2.1.4.1.1.9.1.1.0.0.8938.	5075					
2.1.4.1.1.9.1.1.0.0.8939.	5076					
2.1.4.1.1.9.1.1.0.0.8940.	5077					
2.1.4.1.1.9.1.1.0.0.8941.	5078					
2.1.4.1.1.9.1.1.0.0.8942.	5079					
2.1.4.1.1.9.1.1.0.0.8944.	5080					
2.1.4.1.1.9.1.1.0.0.8946.	5081					
2.1.4.1.1.9.1.1.0.0.8947.	5082					
2.1.4.1.1.9.1.1.0.0.8948.	5083					
2.1.4.1.1.9.1.1.0.0.8949.	5084					
2.1.4.1.1.9.1.1.0.0.8950.	5085					
2.1.4.1.1.9.1.1.0.0.8952.	5086					
2.1.4.1.1.9.1.1.0.0.8953.	5087					
2.1.4.1.1.9.1.1.0.0.8954.	5088					
2.1.4.1.1.9.1.1.0.0.8955.	5089					
2.1.4.1.1.9.1.1.0.0.8956.	5090					
2.1.4.1.1.9.1.1.0.0.8957.	5091					
2.1.4.1.1.9.1.1.0.0.8958.	5092					
2.1.4.1.1.9.1.1.0.0.8959.	5093					
