DE	PARA					
10518CTR 010518	4106					
4603.CTR 004603	3918					
9911.CTR 009911	4382					
7697.CTR 007697	4368					
9913.CTR 008968	4351					
9549.CTR 009549	4246					
10131CTR 010130	4423					
9529.CTR 009529						
7481.CTR 007481	3846					
9029.CTR 009029	4122					
6781.CTR 006781	3994					
9975.CTR 009975	4392					
9830.CTR 009830						
7885.CTR 007885						
6775.CTR 006775	4266					
9758.CTR 009758	3978					
9759.CTR 008992	4257					
10546CTR 010546	4203					
10474CTR 010474	3886					
8204.CTR 008204						
9752.CTR 009752	3975					
9460.CTR 009460	4007					
10495CTR 010495	4101					
7486.CTR 007486	4123					
9840.CTR 009840	4069					
9022.CTR 009022	4033					
7426.CTR 007426	4300					
8772.CTR 008772	3862					
9202.CTR 009202	4311					
9831.CTR 009831	3855					
5996.CTR 005996	4350					
9183.CTR 009183	4289					
9393.CTR 009393	4079					
8998.CTR 008998	4242					
6491.CTR 006491	4039					
9323.CTR 009323	4128					
6824.CTR 006824	4406					
8532.CTR 008532						
7782.CTR 007782						
10124CTR 010124	4172					
9075.CTR 009075	5825					
9666.CTR 009666						
9667.CTR 009124	4319					
8797.CTR 008797	3938					
7324.CTR 007324	4078					
5289.CTR 005289	4290					
9399.CTR 009399						
9300.CTR 009300	3932					
10362CTR 010362	3852					
7677.CTR 007677	3870					
8845.CTR 008845	4164					
9531.CTR 009531	4023					
9290.CTR 009290	4130					
9046.CTR 009046	4250					
9284.CTR 009284	4249					
9458.CTR 009458	3989					
7787.CTR 007787	4005					
10316CTR 010316	3864					
7503.CTR 007503	3966					
9832.CTR 009832	4342					
6173.CTR 006173	3941					
6839.CTR 006839						
8791.CTR 008791	3926					
9292.CTR 009292	4065					
9860.CTR 009860	3923					
9861.CTR 009353	4398					
4995.CTR 004995	4256					
5992.CTR 005992	4395					
9639.CTR 009639	3859					
10521CTR 010521						
5835.CTR 005835	4216					
10517CTR 010517	4214					
7707.CTR 007707	4074					
9246.CTR 009246	4114					
8813.CTR 008813	4151					
9342.CTR 009342	4181					
9343.CTR 005197	4407					
9212.CTR 009212	3891					
9257.CTR 009257	3972					
10378CTR 010378	4206					
10379CTR 004535	3844					
9651.CTR 009651	4297					
10382CTR 007557	5824					
9238.CTR 009238	4141					
9530.CTR 009530	5520					
9837.CTR 009837	4195					
9838.CTR 008983	3867					
10396CTR 010396	4145					
10548CTR 010548	4248					
10549CTR 008967	4158					
9367.CTR 009367	4116					
7596.CTR 007596						
7597.CTR 008987	4314					
9112.CTR 009112	4057					
9283.CTR 009283	4275					
9285.CTR 009760	4159					
10019CTR 010019	3988					
6257.CTR 006257	4425					
10078CTR 010078	4273					
8695.CTR 008695						
9979.CTR 009979						
8699.CTR 008699	4247					
10250CTR 010250	4209					
10481CTR 010481	4388					
10482CTR 009133	4047					
9394.CTR 009394	3903					
9395.CTR 008862	4049					
9772.CTR 009772	4056					
9203.CTR 009203	4234					
8700.CTR 008700	4365					
8405.CTR 008405	3845					
5162.CTR 005162	4265					
8406.CTR 008761	4060					
9277.CTR 009277	3979					
9808.CTR 009808	4124					
6281.CTR 006281	4305					
10116CTR 010116						
7930.CTR 007930	4012					
9845.CTR 009845	4330					
7639.CTR 007639	3993					
7640.CTR 008965	4118					
9995.CTR 009995	4334					
9210.CTR 009210	4025					
8999.CTR 008999	4237					
10022CTR 010022	4282					
7526.CTR 007526						
10031CTR 010031	3999					
10032CTR 008988	3885					
10033CTR 009248	4397					
10309CTR 010309	3916					
8125.CTR 008125	4054					
9099.CTR 009099	4366					
8126.CTR 009165	4084					
10342CTR 010342	4271					
10394CTR 010394	4286					
7693.CTR 007693	4296					
7587.CTR 007587	4359					
9398.CTR 009398	4272					
10356CTR 010356	4184					
10357CTR 010379	4134					
8276.CTR 008276	4156					
8884.CTR 008884	4295					
9036.CTR 009036	4226					
9204.CTR 009204	4189					
9776.CTR 009776	4326					
9463.CTR 009463	3860					
7686.CTR 007686	4374					
9805.CTR 009805						
6655.CTR 006655	4187					
10509CTR 010509	4323					
10247CTR 010247						
9278.CTR 009278						
10114CTR 010114	3957					
10360CTR 010360	4361					
9841.CTR 009841	3881					
6734.CTR 006734	4035					
9904.CTR 009904	4040					
6988.CTR 006988	4071					
6062.CTR 006062	3969					
7520.CTR 007520	3985					
5000.CTR 005000						
10009CTR 010009	4403					
10115CTR 010115						
5616.CTR 005616	3890					
7221.CTR 007221	3977					
9341.CTR 009341	4264					
6875.CTR 006875						
9372.CTR 009372	4233					
9915.CTR 009913	3889					
9916.CTR 010350	3962					
4162.CTR 004162	4308					
6788.CTR 006788	4147					
8130.CTR 008130	4085					
9828.CTR 009828	4285					
8397.CTR 008397	3893					
10347CTR 010347	4002					
10348CTR 008798	4291					
9111.CTR 009111	4244					
9358.CTR 009358	4200					
10020CTR 010020	4261					
7303.CTR 007303	4299					
7522.CTR 007522	3991					
8780.CTR 008780	3880					
6785.CTR 006785	4331					
10118CTR 010118	4263					
9258.CTR 009258	5378					
9259.CTR 007605						
9260.CTR 009339	4119					
7708.CTR 007708	4041					
9390.CTR 009390	5828					
9391.CTR 010619	4337					
9392.CTR 009181	4317					
8904.CTR 008904	3896					
10470CTR 010470	4052					
9459.CTR 009459	4204					
6544.CTR 006544	3910					
9164.CTR 009164	5401					
10373CTR 010373	4075					
9466.CTR 009466	3912					
8270.CTR 008270	4315					
9771.CTR 009771	3908					
9962.CTR 009962	4154					
6716.CTR 006716	4352					
8338.CTR 008338	4133					
9467.CTR 009467	3934					
9032.CTR 009032	3983					
6881.CTR 006881						
10491CTR 010491	3901					
9895.CTR 009895	4175					
8194.CTR 008194	3980					
8195.CTR 004046	4055					
8256.CTR 008256	5818					
10132CTR 010132	4170					
10133CTR 009173	4067					
10401CTR 010401	4028					
8912.CTR 008912						
5395.CTR 005395						
8396.CTR 008396	4194					
8531.CTR 008531	4333					
6886.CTR 006886	4193					
9550.CTR 009550	4034					
6324.CTR 006324	4024					
8844.CTR 008844	3875					
7704.CTR 007704	4072					
9818.CTR 009818	3878					
10562CTR 010562	4381					
6745.CTR 006745	4029					
9642.CTR 009642	4127					
10013CTR 010013	4061					
9208.CTR 009208	4093					
9802.CTR 009802	4372					
7676.CTR 007676	4042					
8674.CTR 008674	4003					
10017CTR 010017	4043					
9187.CTR 009187	4347					
9188.CTR 009678	3944					
10014CTR 010014	3927					
8668.CTR 008668	4001					
10361CTR 010361	4013					
10363CTR 009101	4321					
8198.CTR 008198	3868					
9406.CTR 009406	3997					
10077CTR 010777	5470					
8903.CTR 008902	4302					
10086CTR 010086	4276					
8937.CTR 008936						
10007CTR 010007	4270					
10008CTR 009397	3940					
8919.CTR 008919	4129					
9026.CTR 009026	4107					
5571.CTR 005571	4026					
6259.CTR 006259	4322					
9237.CTR 009237	4015					
9229.CTR 009229	4312					
8313.CTR 008313	4120					
9410.CTR 009410	4277					
9411.CTR 007143	4038					
6599.CTR 006599	4254					
9414.CTR 009413	4222					
9071.CTR 009071	3907					
10395CTR 010395	4109					
9469.CTR 009469	4283					
7443.CTR 007443	3897					
9137.CTR 009137	4320					
9184.CTR 009184	4131					
8211.CTR 008211	3984					
9213.CTR 009213	4053					
9214.CTR 004247	4371					
8677.CTR 008677	4188					
10405CTR 010405	4080					
9461.CTR 009461	3996					
9764.CTR 009764	3915					
9416.CTR 009416	4281					
8105.CTR 008105	4182					
5245.CTR 005245	3953					
8104.CTR 008104	4196					
9445.CTR 009445	4199					
9444.CTR 004382	3900					
7901.CTR 007901	4213					
7356.CTR 007356	5386					
7006.CTR 007006	4304					
9369.CTR 009369	4217					
5556.CTR 005556	3946					
9806.CTR 009806	3906					
6312.CTR 006312	4004					
8916.CTR 008916	4136					
6343.CTR 006343						
9563.CTR 009563	4211					
10137CTR 010137	4087					
10516CTR 010516	4387					
10520CTR 004881	3949					
10449CTR 010449	4140					
9027.CTR 009027	4146					
8706.CTR 008705	4202					
10297CTR 010296	3861					
10220CTR 004737	3929					
8815.CTR 008815	4239					
10040CTR 010040	3960					
9528.CTR 009528	5517					
9875.CTR 009875	4000					
9733.CTR 009732	3911					
7589.CTR 007589	3958					
7130.CTR 007129	4161					
9053.ctr 009053	4228					
10384CTR 010382	4019					
7273.CTR 007273	4168					
8676.CTR 008676	4032					
8340.CTR 008340	3847					
7713.CTR 007713	3858					
7709.CTR 007709	3992					
9988.CTR 009988	4340					
9864.CTR 009864						
9368.CTR 009368	4176					
4465.CTR 004466	4241					
7963.CTR 007963	3973					
7428.CTR 007428	3968					
10636CTR 010636	5518					
10514CTR 010514	3866					
6505.CTR 006505	4212					
9072.CTR 009072	4142					
6322.CTR 006322						
9087.CTR 009087						
9025.CTR 009025	3865					
9030.CTR 008760	4171					
7361.CTR 007361	4377					
5538.CTR 005538	4089					
10139CTR 010139	4224					
10159CTR 010159	4062					
9327.CTR 009327	4165					
8890.CTR 008890	4115					
8901.CTR 008901	3937					
8586.CTR 008586						
5349.CTR 005349	3981					
8415.CTR 008415	4008					
9321.CTR 009321	4405					
9365.CTR 009365						
9366.CTR 004404	4354					
10450CTR 010450	3976					
5896.CTR 005896	4096					
9403.CTR 009401	4408					
8828.CTR 008828	4309					
9377.CTR 009377						
10407CTR 010407	3872					
9037.CTR 009037	4014					
8891.CTR 008891	4414					
10402CTR 010402	4253					
6822.CTR 006822	4240					
7582.CTR 007582	3930					
7695.CTR 007695	3924					
9050.CTR 009050	4380					
5512.CTR 005512	4150					
5513.CTR 004271	4098					
10066CTR 010066						
6698.CTR 006698						
8914.CTR 008914	4110					
8892.CTR 008892	4415					
8255.CTR 008255	3936					
4957.CTR 004957	4343					
4959.CTR 009074	3914					
7561.CTR 007561	4143					
10023CTR 010023	3964					
9320.CTR 09320	3931					
6507.CTR 006507	4048					
6508.CTR 009444	4251					
8789.CTR 008789						
10637CTR 010637	4339					
6737.CTR 006737	5469					
10435CTR 10435	4103					
9031.CTR 009030	4383					
9843.CTR 009843	4336					
5353.CTR 005353						
7568.CTR 007568	4177					
9357.CTR 009357	4174					
10074CTR 010074	4044					
8402.CTR 008402	4121					
9170.CTR 009170						
10391CTR 0010391	4301					
9128.CTR 009128	4070					
5883.CTR 005883	3888					
7687.CTR 007687	4238					
7688.CTR 009389	4373					
7689.CTR 009298	4293					
9352.CTR 009352	3939					
9353.CTR 008937	4313					
4379.CTR 004379	4399					
7177.CTR 007177	4400					
8921.CTR 008921	4046					
7106.CTR 007106	4186					
5868.CTR 005868	3905					
10128CTR 010128	4094					
8794.CTR 008794	4104					
9086.CTR 009086	4064					
7134.CTR 007134	4126					
9232.CTR 009232	3863					
8800.CTR 008800	3990					
7209.CTR 007209	4329					
10012CTR 010012	4390					
9127.CTR 009127	3959					
10552CTR 010552	4153					
10006CTR 010006	3928					
10010CTR 009667	4229					
10138CTR 010138	4341					
7889.CTR 007888	4268					
9943.CTR 009943	4367					
10472CTR 010472	4416					
9944.CTR 004401	4269					
5256.CTR 005256	4092					
9945.CTR 009285	4050					
6910.CTR 006903	4235					
10519CTR 010519	3877					
6911.CTR 007581	3948					
7271.CTR 007271	4073					
9177.CTR 009177	4006					
6756.CTR 006756	3848					
9839.CTR 009838	5827					
10527CTR 010527	4076					
7003.CTR 007003	3942					
5561.CTR 005561	3943					
6638.CTR 006638	4117					
8899.CTR 008899	3857					
5967.CTR 005967	4111					
5968.CTR 008981	4418					
6962.CTR 006962	3895					
6777.CTR 006777	4081					
10436CTR 010436	3874					
8736.CTR 008736	4095					
8737.CTR 008878	4179					
10145CTR 010145						
7265.CTR 007265	4139					
5841.CTR 005841	3873					
5842.CTR 004851	4030					
5334.CTR 005334						
9396.CTR 009395	3945					
9279.CTR 009279	3851					
10043CTR 010043	4245					
10044CTR 008925	4316					
5101.CTR 005101	4077					
6386.CTR 006386	4201					
9316.CTR 009316	4036					
9804.CTR 009804	4155					
4769.CTR 004769	4287					
10448CTR 010448	3904					
9889.CTR 009889	4210					
9253.CTR 009253	4284					
7246.CTR 007246	3917					
10011CTR 010011	4307					
10501CTR 010501	4364					
8399.CTR 008399	4454					
4766.CTR 004766	4379					
9464.CTR 009464	4232					
8692.CTR 008692	4279					
4601.CTR 004601	3952					
10129CTR 010129	4135					
5767.CTR 005767	4344					
7326.CTR 007326	3971					
7131.CTR 007131	4051					
10493CTR 010493	3879					
8044.CTR 008044	4149					
5316.CTR 005316	4394					
8859.CTR 008859	3974					
7942.CTR 007942	4384					
10075CTR 010075	4091					
10076CTR 010076	4259					
9221.CTR 009221	4230					
6043.CTR 006043	4022					
9015.CTR 009015	3954					
6985.CTR 006985	4349					
9834.CTR 009834	4020					
7606.CTR 007606	3882					
8200.CTR 008200	4355					
9842.CTR 009842	3856					
10639CTR 010639	3970					
10641CTR 010641	4037					
10643CTR 010643	4338					
10651CTR 010650	3869					
10658CTR 010658	4166					
10662CTR 010662	3854					
10663CTR 009861	4132					
9914.CTR 009914	3871					
10154CTR 010154	3841					
10669CTR 010668						
10352CTR 010352	3842					
10671CTR 010671						
10672CTR 010672	3843					
10673CTR 010673	4258					
10675CTR 010675	5826					
10677CTR 010677	4409					
7283.CTR 007283	4410					
4504.CTR 004497	5471					
8584.CTR 008584	4426					
10644CTR 010644	4411					
10716CTR 010716	4412					
10752C TR 010752	4413					
10749CTR 010749	4417					
10719CTR 010719						
10747CTR 010747	4419					
10761CTR 010761	4420					
10753CTR 010753	4421					
10743CTR  010743	5394					
10705CTR 010705	4422					
9017.CTR 009017	4441					
10703CTR 010703	4440					
10720CTR 010720	4436					
10709CTR 010709	4435					
10707CTR 010707	4439					
10689CTR 010689	4438					
10686CTR 010686	4427					
10765CTR 010765	4430					
10751CTR 010751	4437					
10792CTR 010792	4453					
10760CTR 010760	4434					
10801CTR 010801	4431					
10803CTR 010803	4450					
10804CTR 010804	4429					
10822CTR 010822	4443					
10748CTR 010748	4428					
10811CTR 010811	4433					
10762CTR 010762	4445					
10737CTR 010737	4432					
10438CTR 10438	4452					
8052.CTR 008052	4442					
10777CTR 010777	4183					
10802CTR 010802	4456					
10824CTR 010824	4444					
10838CTR 010838	4446					
10842CTR 010842	4457					
10867CTR 010867	4447					
10854CTR 010854	4448					
10852CTR 010852	4451					
10876CTR 010876	4449					
10845CTR 010845	4458					
10847CTR 010847	4459					
10868CTR 010868	4460					
10853CTR 010853	4465					
10886CTR 010866	4466					
10857CTR 010857	4463					
10855CTR 010855	4468					
10805CTR 010875	4462					
10894CTR 010894	4472					
10895CTR 010895	4471					
10900CTR 010900	4470					
10907CTR 010907	4461					
10902CTR 010902	4467					
10869CTR 010869	5830					
10872CTR 010872	4478					
10899CTR 010899	4473					
10901CTR 010901	4464					
10955CTR 010955	4474					
10976CTR 010976	4475					
10922CTR 010922	4479					
10954CTR 010954	4476					
10905CTR 010905	4480					
10903CTR 010903	5834					
10960CTR 010960	4486					
10933CTR 010933	4485					
10963CTR 010963	4508					
7347.CTR 07347	4477					
10935CTR 10935	4483					
10950CTR 010950	4488					
11091CTR 011091	4490					
10962CTR 010962	4497					
10981CTR 010981	4510					
10977CTR 010977	4491					
10967CTR 010967	4511					
10939CTR 010939	4509					
11058C TR 011058	4484					
11066CTR 011066	4481					
10039CTR 011039	4512					
11065CTR 011065	4487					
10982CTR 010982	4493					
11057CTR 011057	4489					
10978CTR 010978	4513					
11061CTR 011061	4514					
11095CTR 011095	4496					
11067CTR 011067	4533					
11071CTR 011070	4482					
10906CTR 010906	4495					
10952CTR 010952	4504					
10929CTR 010949	4534					
10951CTR 010951	4494					
10956CTR 010956	4502					
10964CTR 010964	4500					
10965CTR 010965	4503					
11158CTR 011158	4498					
11090CTR 011090	4535					
11099CTR 011099	4505					
11076CTR 011076	4501					
11164CTR 011164	4499					
10096CTR 011096	4507					
11149CTR 011149	4536					
11094CTR 011094						
11121CTR 011121	4583					
11184CTR 011184	4518					
10038CTR 11138	4537					
11186CTR 011186	4527					
11078CTR 011078	4516					
11100CTR 011100	4492					
11196CTR 011196	4522					
11192CTR 011192	4506					
11195CTR 011195	4520					
11102CTR  011102	4588					
10974CTR 010974	4517					
10979CTR 010979	4528					
11059CTR 011059	4532					
11070CTR 011070	4523					
11077CTR 011077	4525					
11204CTR 011204	4521					
11197CTR 011197	4515					
11342CTR 011342	4519					
11262CTR 011262	4524					
11227CTR 011227	4526					
11222CTR 011222	4570					
11230CTR 011230	4550					
11202CTR 011202	4530					
11213CTR 011213	4581					
11343CTR 011343	4531					
11267CTR 011267	4529					
11352CTR 011352	4539					
11191CTR 011191	4573					
11315CTR 011315	4545					
11351CTR 011351	4585					
11253CTR 011253	4538					
11363CTR 011363	4546					
11357CTR 011357	4543					
11431CTR 011431	4542					
11371CTR 011371	4586					
11349CTR 011349	4544					
11474CTR 011474	4553					
11353CTR 011353	4541					
11419CTR 011419	4548					
11423CTR 011423	4551					
11367CTR 011367	4540					
11436CTR 011436	4547					
11427CTR 011427	4558					
11366CTR 011366	4552					
11428CTR 011428	4549					
11383CTR 011383	4560					
11430CTR 011430	4589					
11189CTR 011189	4555					
11434CTR 011434	4590					
11368CTR 011368	4554					
11199CTR 011199	4566					
11435CTR 011435	4563					
11433CTR 011433	4572					
11458CTR 011458	4557					
11456CTR 011456	4568					
11473CTR 011473	4561					
11459CTR 011459	4562					
11471CTR 011471	4565					
11194CTR 011194	4567					
11476CTR 011476	4569					
11074CTR 011074	4556					
11432CTR 011432	4584					
11203CTR 011203	4575					
11229CTR 011229	4571					
10626CTR 010626	4574					
11098CTR 011098	4564					
11354CTR 011354	4591					
11358CTR 011358	4577					
11437CTR 011437	4576					
11478CTR 011478	4579					
11477CTR 011477	4580					
11482CTR 011482	4578					
11495CTR 011495	4559					
11496CTR 011496	4582					
11497CTR 011497	4593					
11500CTR 011500	4592					
11501CTR 011501	4594					
11503CTR 011503	4595					
6740.CTR 006740	4596					
11520CTR 011520	4597					
11504CTR 011504	4598					
11506CTR 011506	4599					
11509CTR 011509	4600					
11596CTR 011596	4602					
11609CTR 011609	4632					
11507CTR 011507	4603					
11538CTR 011538	4607					
11523CTR 011523	4604					
11519CTR 011519	4610					
11546CTR 011546	4601					
11558CTR 011558	4615					
11561CTR 011561	4609					
11557CTR 011557	4648					
11521CTR 011521	4608					
11567CTR 011567	5472					
11550CTR 011550	4650					
11566CTR 011566	4637					
11560CTR 011560	4611					
11621CTR 011621	4647					
11564CTR 011564	4617					
11568CTR 011568	4614					
11565CTR 011565	4612					
10623CTR 010623	4619					
11659CTR 011659	4613					
11617CTR 011617	4621					
11600CTR 011600						
11611CTR 011611	4618					
11624CTR 011624	4616					
11638CTR 011638	4622					
11610CTR 011610	4645					
11696CTR 011696	4633					
11505CTR 011505	4644					
11592CTR 011592	4605					
10339CTR 010339	4626					
10668CTR 010668	4606					
11640CTR 011640	4630					
11616CTR 011616	4627					
11545CTR 011545	4636					
11651CTR 011651	4625					
11636CTR 011636	4620					
11625CTR 011625	4628					
11689CTR 011689	4640					
11698CTR 011698	4646					
11652CTR 011652	4649					
11594CTR 011594	4639					
11541CTR 011541	4629					
11571CTR 011571	4635					
11628CTR 011628	4638					
11549CTR 011549	4643					
11537CTR 011537	4624					
11631CTR 011631	4651					
11542CTR 011542	4641					
11680CTR 011680	4652					
11691CTR 011691	4631					
11699CTR 011699	4642					
11700CTR 011700	4653					
11705CTR 011705	5437					
11703CTR 011703	4655					
11707CTR 011707	4654					
11713CTR 011713	4656					
11727CTR 011727	4657					
11728CTR 011728	4658					
11729CTR 011729	4659					
11735CTR 011735	4660					
11742CTR 011742	4661					
11748CTR 011748	4662					
11747CTR 011747	4664					
11762CTR 011762	4663					
11763CTR 011763	4665					
11764CTR 011764	4666					
11765CTR 011765	4667					
11766CTR 011766	4668					
11768CTR 011768	4669					
11770CTR 011770	4670					
11771CTR 011771	4671					
11775CTR 011775	4672					
11776CTR 011776	4682					
11780CTR 011780	4673					
11781CTR 011781	4674					
11782CTR 011782	4675					
11786CTR 011786	4676					
11785CTR 011785	4677					
11817CTR 011817	4679					
11834CTR 011834	4678					
11773CTR 011773	4680					
11835CTR 011835	4681					
11857CTR 011857	4683					
11861CTR 011861	4686					
11837CTR 011837	4687					
11839CTR 011839	4684					
11888CTR 011888	4685					
11890CTR 011890	4688					
11889CTR 011889	4690					
11891CTR 011891	4689					
11892CTR 011892	4691					
11898CTR 011898	4692					
11900CTR 011900	4693					
11932CTR 011932	4694					
11933CTR 011933	4695					
11937CTR 011937	4696					
11938CTR 011938	4697					
11939CTR 011939	4698					
11949CTR 011949	4699					
11955CTR 011955	4700					
11956CTR 011956	4701					
12012CTR 12012	4702					
12014CTR 012014	4744					
11959CTR 011959	4705					
11973CTR 011973	4710					
11962CTR 011962	4707					
12020CTR 012020	4742					
12030CTR 012030	4706					
11960CTR 011960	4745					
12019CTR 012019	4703					
12015CTR 012015	4704					
12050CTR 012050	4712					
12031CTR 012031	4711					
12033CTR 012033	4708					
12051CTR 012051	4709					
12043CTR 012043	4714					
12041CTR 012041	4738					
12034CTR 012034	4715					
12097CTR 012097	4719					
12048CTR 012048	4718					
12046CTR 012046	4743					
12049CTR 012049	4717					
12093CTR 012093	4722					
12088CTR 012088	4721					
12092CTR 012092	4723					
12090CTR 012090	4713					
12094CTR 012094	4716					
12087CTR 012087	4729					
12127CTR 012127	4725					
12098CTR 012098	4727					
12171CTR 012171	4726					
12110CTR 012110	4724					
12161CTR 012161	4728					
12126CTR 012126	4720					
12141CTR 012141	4731					
12151CTR 012151	4733					
12032CTR 012032	4735					
12162CTR 012162	4730					
12163CTR 012163	4747					
12170CTR 012170	4746					
11966CTR 011966	4736					
12042 CTR 012042	4737					
11958CTR 011958	4734					
12010CTR 012010	4739					
12140CTR 012140	4740					
12139CTR 012139	4748					
12164CTR 012164	4772					
12169CTR 012169	4749					
12249CTR 012249	4741					
12208CTR 012208	4732					
12172CTR 012172	4751					
12201CTR 012201	4752					
12209CTR 012209	4755					
12203CTR 012203	4754					
12202CTR 012202	4760					
12213CTR 012213	4761					
12218CTR 012218	4750					
12219CTR 012219	4753					
12312CTR 012312	4756					
12204CTR 012204	4757					
12207CTR 012207	4758					
12243CTR 012243	4774					
12258CTR 012258	4762					
12250CTR 012250	4765					
12248CTR 012248	5438					
12313CTR 012313	4764					
12307CTR 012307	4770					
12302CTR 0123602	4763					
12315CTR 012315	4773					
12257CTR 012257	4768					
12314CTR 012314	4767					
12168CTR 012168	4759					
12260CTR 012260	4766					
12222CTR 012222	4771					
12317CTR 012317	4769					
12318CTR 012318	4775					
12483CTR 012483	4776					
12551CTR 012551	4777					
	4778					
						
CLASSIFICADOR						
7296	5879					
9676	5880					
8790	5881					
9460	5882					
9323	5883					
10362	5884					
9837	5885					
10549	5886					
9772	5887					
7639	5888					
7640	5889					
9995	5890					
10022	5891					
8399	5892					
8692	5893					
9017	5894					
7347	5895					
6740	5896					
11565	5897					
12302	5898					
3245	5432					
3202	5876					
5393	4965					
5394	4966					
5396	4967					
5397	4968					
5398	4969					
5399	4970					
5402	4971					
5500	4972					
5501	4973					
3318	4979					
